               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  54,             0.62041,             0.63541,              1.0343,             0.69571,             0.72995,             0.76157,             0.63153,             0.81429,              1.0317,              1.3293,            0.004753,            0.004753,            0.004753
                  55,             0.58489,             0.62556,              1.0035,             0.72277,             0.71173,             0.74929,             0.63157,             0.78516,              1.0299,              1.2695,            0.004654,            0.004654,            0.004654
                  56,             0.59293,             0.59521,             0.99242,             0.68018,             0.80017,             0.76603,             0.64087,                0.76,              1.0606,              1.2633,            0.004555,            0.004555,            0.004555
                  57,             0.58454,             0.62166,              0.9956,             0.70442,             0.77062,             0.76072,             0.62765,             0.79113,              1.0255,              1.2778,            0.004456,            0.004456,            0.004456
                  58,             0.58439,             0.59615,               1.014,             0.65553,             0.77948,             0.75844,             0.64331,             0.73562,               0.915,              1.2227,            0.004357,            0.004357,            0.004357
                  59,             0.56756,             0.57933,             0.98739,             0.68924,             0.76993,             0.76082,             0.64491,             0.74739,              1.0221,              1.2292,            0.004258,            0.004258,            0.004258
                  60,             0.54182,             0.59373,             0.97188,             0.69888,             0.72758,             0.76074,             0.65238,             0.73814,             0.93171,                1.23,            0.004159,            0.004159,            0.004159
                  61,             0.57857,             0.57402,             0.98558,             0.72567,             0.72095,             0.76952,              0.6564,             0.71181,             0.95497,               1.229,             0.00406,             0.00406,             0.00406
                  62,              0.5914,             0.61379,              1.0116,             0.68677,             0.78837,             0.76975,             0.64222,             0.75774,             0.95474,              1.2393,            0.003961,            0.003961,            0.003961
                  63,             0.57284,             0.56604,               0.989,             0.71675,             0.71428,             0.76181,             0.62798,             0.75498,              1.0172,              1.2449,            0.003862,            0.003862,            0.003862
                  64,             0.56152,             0.59101,              1.0012,             0.69309,             0.76306,             0.77037,             0.64393,             0.77734,             0.95087,              1.2445,            0.003763,            0.003763,            0.003763
                  65,             0.57428,             0.59976,             0.99576,             0.62885,             0.81454,              0.7669,             0.63424,              0.7513,             0.94606,              1.2496,            0.003664,            0.003664,            0.003664
                  66,             0.58901,             0.59822,              1.0221,             0.68096,              0.7001,             0.74011,             0.62944,             0.73303,             0.96025,               1.223,            0.003565,            0.003565,            0.003565
                  67,             0.53659,             0.55128,             0.97922,             0.66529,             0.81121,             0.76832,             0.64729,             0.75064,              1.0088,              1.2506,            0.003466,            0.003466,            0.003466
                  68,             0.54365,             0.57773,             0.97604,             0.61581,             0.80105,             0.76925,             0.64408,             0.72718,             0.95784,              1.2317,            0.003367,            0.003367,            0.003367
                  69,             0.51843,             0.53716,             0.96203,             0.70373,             0.75834,             0.76981,             0.64246,             0.74482,             0.94443,              1.2487,            0.003268,            0.003268,            0.003268
                  70,             0.56849,             0.56572,             0.99426,             0.69498,             0.79669,             0.77235,             0.65729,              0.7079,             0.91923,               1.202,            0.003169,            0.003169,            0.003169
                  71,             0.54139,             0.57141,              0.9616,             0.71206,              0.7362,             0.77848,             0.66477,             0.71876,              0.9261,              1.2232,             0.00307,             0.00307,             0.00307
                  72,             0.53306,             0.54773,             0.95678,              0.6973,             0.77092,             0.77215,             0.66769,             0.69141,             0.92763,              1.2071,            0.002971,            0.002971,            0.002971
                  73,             0.49612,             0.49675,             0.95707,             0.68836,             0.78656,             0.78236,              0.6651,             0.72193,             0.98835,              1.2106,            0.002872,            0.002872,            0.002872
                  74,             0.50596,             0.51301,             0.95201,             0.72145,             0.79596,              0.7947,             0.68518,             0.66551,             0.87605,              1.1641,            0.002773,            0.002773,            0.002773
                  75,             0.51144,             0.53152,             0.94655,             0.70898,             0.79282,              0.7934,             0.68563,             0.66281,             0.88049,              1.1652,            0.002674,            0.002674,            0.002674
                  76,             0.49522,             0.49941,             0.95368,             0.67988,             0.79549,             0.77443,             0.65493,             0.72421,              0.9656,              1.2188,            0.002575,            0.002575,            0.002575
                  77,             0.53021,             0.56125,             0.97477,             0.67335,             0.77247,             0.77999,             0.67116,             0.68072,             0.91268,              1.1854,            0.002476,            0.002476,            0.002476
                  78,             0.46804,             0.50259,             0.93235,             0.68155,             0.78423,             0.76893,              0.6668,             0.67018,             0.96896,              1.1689,            0.002377,            0.002377,            0.002377
                  79,             0.51128,             0.52065,              0.9629,             0.66079,             0.77501,             0.76951,             0.66672,             0.66998,             0.95207,              1.1785,            0.002278,            0.002278,            0.002278
                  80,             0.49483,             0.51377,             0.95471,             0.70212,             0.71249,             0.75715,             0.64803,             0.66769,             0.90495,              1.1721,            0.002179,            0.002179,            0.002179
                  81,             0.46698,             0.49192,             0.93528,             0.66983,             0.77062,              0.7721,             0.65754,             0.65651,             0.91842,              1.1682,             0.00208,             0.00208,             0.00208
                  82,             0.49057,             0.50133,             0.94262,             0.68488,             0.74769,             0.77786,             0.67601,             0.62496,             0.91086,              1.1371,            0.001981,            0.001981,            0.001981
                  83,             0.47132,             0.48574,              0.9371,              0.6656,              0.7504,             0.76802,             0.66582,             0.65453,               0.935,              1.1515,            0.001882,            0.001882,            0.001882
                  84,             0.50756,             0.52096,             0.95246,             0.70639,             0.73554,             0.77559,              0.6789,             0.65699,             0.92449,               1.165,            0.001783,            0.001783,            0.001783
                  85,             0.52367,             0.52614,             0.98068,             0.63431,             0.71164,             0.74782,             0.64468,             0.65724,             0.97768,              1.1732,            0.001684,            0.001684,            0.001684
                  86,             0.48369,             0.53513,               1.019,             0.57869,             0.82752,             0.75749,               0.657,             0.64537,             0.90778,              1.1442,            0.001585,            0.001585,            0.001585
                  87,             0.46237,             0.46951,             0.99376,             0.67402,             0.79877,             0.77417,             0.66324,             0.68748,             0.94542,              1.1865,            0.001486,            0.001486,            0.001486
                  88,             0.46368,             0.46867,             0.97572,             0.70518,              0.7456,             0.76868,             0.66576,             0.68319,             0.98021,              1.1794,            0.001387,            0.001387,            0.001387
                  89,             0.45807,                0.45,             0.99194,             0.68935,             0.78475,             0.77312,             0.66884,             0.66077,             0.92156,               1.169,            0.001288,            0.001288,            0.001288
                  90,             0.46235,             0.46557,             0.98942,             0.68017,             0.80208,             0.77554,             0.66709,              0.6602,             0.93435,              1.1707,            0.001189,            0.001189,            0.001189
                  91,             0.41177,             0.43052,              0.9232,             0.68567,              0.7124,             0.75784,             0.65682,             0.68397,             0.95407,              1.1889,             0.00109,             0.00109,             0.00109
                  92,              0.4373,             0.47557,             0.97246,             0.64048,             0.83008,             0.76426,             0.66475,              0.6708,             0.94844,              1.1908,            0.000991,            0.000991,            0.000991
                  93,             0.40993,             0.44193,              0.9509,             0.64479,             0.80239,             0.76293,             0.66744,              0.6473,              0.8985,               1.164,            0.000892,            0.000892,            0.000892
                  94,             0.39093,             0.44223,             0.92887,              0.6999,             0.72612,             0.76164,             0.66811,             0.64087,             0.92396,              1.1588,            0.000793,            0.000793,            0.000793
                  95,              0.3677,             0.38801,             0.91827,             0.70777,             0.73973,               0.764,              0.6697,             0.64334,             0.91112,              1.1552,            0.000694,            0.000694,            0.000694
                  96,             0.39851,             0.40222,             0.94502,             0.66277,             0.81026,             0.77659,             0.68749,              0.6346,              0.8771,              1.1498,            0.000595,            0.000595,            0.000595
                  97,             0.39452,             0.41644,             0.92461,             0.63183,             0.83629,             0.77953,             0.68809,             0.62401,             0.86378,              1.1362,            0.000496,            0.000496,            0.000496
                  98,             0.37458,              0.3806,             0.92731,             0.64834,             0.83921,             0.78128,             0.69471,             0.61287,             0.88713,              1.1273,            0.000397,            0.000397,            0.000397
                  99,             0.33852,             0.37556,             0.87853,             0.65125,             0.84691,             0.78031,             0.69369,             0.60716,             0.90128,              1.1235,            0.000298,            0.000298,            0.000298
